ToolSerialNumber,ParameterSetId,DateOfScrewings,NumberOfOkScrewings,NumberOfNokScrewings
"F3660289      ",15,2022-06-15,330,3
"F3660289      ",100,2022-06-13,1,0
"B5582642      ",3,2022-06-16,1586,140
"F3660289      ",37,2022-06-16,560,23
"F3660289      ",14,2022-06-16,1207,16
"F3660289      ",15,2022-06-16,403,7
"F3660289      ",100,2022-06-14,1,0
"F3660289      ",100,2022-06-16,0,1
"F3660289      ",100,2022-06-15,1,0
"B5582642      ",3,2022-06-17,1575,79
"F3660289      ",37,2022-06-17,560,23
"F3660289      ",14,2022-06-17,1173,14
"F3660289      ",15,2022-06-17,390,7
"F3660289      ",14,2022-06-18,684,36
"B5582642      ",3,2022-06-18,877,46
"F3660289      ",15,2022-06-18,228,4
"F3660289      ",37,2022-06-18,362,5
"F3660289      ",14,2022-06-19,105,1
"F3660289      ",15,2022-06-19,35,1
"B5582642      ",3,2022-06-19,132,7
"F3660289      ",37,2022-06-19,60,1
"F3660289      ",14,2022-06-20,1149,29
"B5582642      ",3,2022-06-20,1510,56
"F3660289      ",15,2022-06-20,383,5
"F3660289      ",37,2022-06-20,573,30
"B5582642      ",3,2022-06-21,1540,50
"F3660289      ",37,2022-06-21,562,43
"F3660289      ",14,2022-06-21,1164,30
"F3660289      ",15,2022-06-21,389,5
"F3660289      ",100,2022-06-20,1,1
"F3660289      ",100,2022-06-21,2,0
"B5582642      ",3,2022-06-22,866,23
"F3660289      ",37,2022-06-22,339,53
"F3660289      ",14,2022-06-22,675,17
"F3660289      ",15,2022-06-22,225,5
"B5582642      ",3,2022-06-26,142,12
"F3660289      ",14,2022-06-26,123,8
"F3660289      ",15,2022-06-26,41,1
"F3660289      ",37,2022-06-26,64,4
"F3660289      ",37,2022-06-27,560,41
"B5582642      ",3,2022-06-27,1492,71
"F3660289      ",14,2022-06-27,1119,40
"F3660289      ",15,2022-06-27,373,11
"B5582642      ",3,2022-06-28,1536,77
"F3660289      ",37,2022-06-28,586,45
"F3660289      ",14,2022-06-28,1131,28
"F3660289      ",15,2022-06-28,377,17
"F3660289      ",100,2022-06-28,0,1
"B5582642      ",3,2022-06-29,1596,132
"F3660289      ",14,2022-06-29,1209,53
"F3660289      ",15,2022-06-29,402,4
"F3660289      ",37,2022-06-29,573,60
"F3660289      ",100,2022-06-29,2,1
"B5582642      ",3,2022-06-30,878,75
"F3660289      ",37,2022-06-30,298,17
"F3660289      ",14,2022-06-30,672,37
"F3660289      ",15,2022-06-30,224,8
"B5582642      ",3,2022-07-03,106,6
"F3660289      ",37,2022-07-03,44,1
"F3660289      ",14,2022-07-03,81,4
"F3660289      ",15,2022-07-03,27,1
"F3660289      ",37,2022-07-04,571,41
"B5582642      ",3,2022-07-04,1212,58
"F3660289      ",14,2022-07-04,1098,62
"F3660289      ",15,2022-07-04,366,9
"F3660289      ",100,2022-07-04,0,3
"F3660289      ",100,2022-06-30,1,0
"F3660289      ",15,2022-07-05,371,13
"B5582642      ",3,2022-07-05,790,56
"F3660289      ",14,2022-07-05,1113,54
"F3660289      ",37,2022-07-05,593,26
"F3660289      ",100,2022-07-05,2,0
"B5582642      ",3,2022-07-06,1461,118
"F3660289      ",14,2022-07-06,1092,48
"F3660289      ",15,2022-07-06,364,5
"F3660289      ",37,2022-07-06,533,34
"F3660289      ",14,2022-07-07,1050,27
"F3660289      ",15,2022-07-07,350,8
"B5582642      ",3,2022-07-07,1392,82
"F3660289      ",37,2022-07-07,495,33
"F3660289      ",100,2022-07-06,0,1
"F3660289      ",100,2022-07-07,1,0
"B5582642      ",3,2022-07-08,1526,87
"F3660289      ",37,2022-07-08,517,86
"F3660289      ",14,2022-07-08,1125,58
"F3660289      ",15,2022-07-08,375,1
"F3660289      ",100,2022-07-08,0,1
"F3660289      ",37,2022-07-09,166,9
"B5582642      ",3,2022-07-09,400,16
"F3660289      ",14,2022-07-09,306,9
"F3660289      ",15,2022-07-09,102,1
"F3660289      ",100,2022-07-09,1,0
"B5582642      ",3,2022-07-10,118,4
"F3660289      ",14,2022-07-10,90,1
"F3660289      ",15,2022-07-10,30,2
"F3660289      ",37,2022-07-10,36,0
"B5582642      ",3,2022-07-11,1524,59
"F3660289      ",14,2022-07-11,1155,38
"F3660289      ",15,2022-07-11,385,8
"F3660289      ",37,2022-07-11,417,67
"B5582642      ",3,2022-07-12,1550,99
"F3660289      ",14,2022-07-12,1149,37
"F3660289      ",15,2022-07-12,382,4
"F3660289      ",100,2022-07-11,1,1
"F3660289      ",37,2022-07-12,485,43
"F3660289      ",5,2022-07-12,30,0
"F3660289      ",15,2022-07-13,356,10
"B5582642      ",3,2022-07-13,1397,70
"F3660289      ",37,2022-07-13,434,31
"F3660289      ",14,2022-07-13,1068,41
"F3660289      ",100,2022-07-13,2,0
"B5582642      ",3,2022-07-14,1036,46
"F3660289      ",37,2022-07-14,340,32
"F3660289      ",14,2022-07-14,813,26
"F3660289      ",15,2022-07-14,271,0
"F3660289      ",100,2022-07-14,1,1
"B5582642      ",3,2022-07-15,1014,58
"F3660289      ",14,2022-07-15,759,15
"F3660289      ",15,2022-07-15,253,1
"F3660289      ",37,2022-07-15,296,17
"F3660289      ",15,2022-07-16,125,4
"B5582642      ",3,2022-07-16,485,36
"F3660289      ",37,2022-07-16,157,15
"F3660289      ",14,2022-07-16,375,3
"F3660289      ",14,2022-07-18,798,21
"B5582642      ",3,2022-07-18,987,38
"F3660289      ",15,2022-07-18,266,8
"F3660289      ",37,2022-07-18,352,10
"F3660289      ",100,2022-07-16,0,1
"F3660289      ",14,2022-07-19,720,21
"B5582642      ",3,2022-07-19,978,42
"F3660289      ",15,2022-07-19,240,4
"F3660289      ",37,2022-07-19,312,34
"F3660289      ",100,2022-07-19,1,0
"F3660289      ",37,2022-07-20,346,35
"B5582642      ",3,2022-07-20,1068,41
"F3660289      ",14,2022-07-20,810,21
"F3660289      ",15,2022-07-20,270,7
"B5582642      ",3,2022-07-21,1038,85
"F3660289      ",37,2022-07-21,339,31
"F3660289      ",14,2022-07-21,774,17
"F3660289      ",15,2022-07-21,258,8
"F3660289      ",100,2022-07-20,1,0
"F3660289      ",15,2022-07-22,261,3
"B5582642      ",3,2022-07-22,1033,73
"F3660289      ",37,2022-07-22,336,38
"F3660289      ",14,2022-07-22,783,24
"F3660289      ",100,2022-07-21,1,0
"B5582642      ",3,2022-07-23,1064,38
"F3660289      ",37,2022-07-23,395,13
"F3660289      ",14,2022-07-23,795,28
"F3660289      ",15,2022-07-23,265,3
"F3660289      ",100,2022-07-22,1,0
"B5582642      ",3,2022-07-25,1034,24
"F3660289      ",14,2022-07-25,777,23
"F3660289      ",15,2022-07-25,259,4
"F3660289      ",37,2022-07-25,323,23
"F3660289      ",100,2022-07-23,1,1
"B5582642      ",3,2022-07-26,1012,61
"F3660289      ",37,2022-07-26,310,22
"F3660289      ",14,2022-07-26,738,28
"F3660289      ",15,2022-07-26,245,0
"F3660289      ",100,2022-07-25,1,0
"B5582642      ",3,2022-06-12,133,2
"F3660289      ",37,2022-06-12,44,0
"F3660289      ",14,2022-06-12,105,4
"F3660289      ",15,2022-06-12,35,0
"B5582642      ",3,2022-07-27,1066,38
"F3660289      ",37,2022-07-27,371,25
"F3660289      ",14,2022-07-27,792,16
"F3660289      ",15,2022-07-27,264,3
"F3660289      ",100,2022-07-27,1,0
"B5582642      ",3,2022-07-28,1036,34
"F3660289      ",37,2022-07-28,375,48
"F3660289      ",14,2022-07-28,756,17
"F3660289      ",15,2022-07-28,252,1
"F3660289      ",100,2022-07-28,0,1
"B5582642      ",3,2022-07-29,1032,19
"F3660289      ",37,2022-07-29,314,16
"F3660289      ",14,2022-07-29,747,17
"F3660289      ",15,2022-07-29,249,3
"F3660289      ",14,2022-07-30,747,21
"F3660289      ",15,2022-07-30,249,0
"B5582642      ",3,2022-07-30,1040,45
"F3660289      ",37,2022-07-30,309,23
"F3660289      ",100,2022-07-30,0,1
"F3660289      ",14,2022-08-01,765,17
"F3660289      ",15,2022-08-01,255,1
"B5582642      ",3,2022-08-01,1028,65
"F3660289      ",37,2022-08-01,326,15
"F3660289      ",100,2022-08-01,0,2
"F3660289      ",14,2022-08-02,717,27
"F3660289      ",15,2022-08-02,238,3
"B5582642      ",3,2022-08-02,1014,39
"F3660289      ",37,2022-08-02,310,40
"F3660289      ",37,2022-08-03,321,19
"B5582642      ",3,2022-08-03,1018,35
"F3660289      ",14,2022-08-03,762,18
"F3660289      ",15,2022-08-03,254,10
"F3660289      ",100,2022-08-03,1,0
"F3660289      ",100,2022-08-02,1,0
"B5582642      ",3,2022-08-04,1038,45
"F3660289      ",14,2022-08-04,768,21
"F3660289      ",15,2022-08-04,256,2
"F3660289      ",37,2022-08-04,291,36
"F3660289      ",14,2022-08-05,744,17
"B5582642      ",3,2022-08-05,1004,31
"F3660289      ",15,2022-08-05,248,0
"F3660289      ",37,2022-08-05,286,20
"B5582642      ",3,2022-08-06,1042,61
"F3660289      ",14,2022-08-06,765,9
"F3660289      ",15,2022-08-06,255,2
"F3660289      ",37,2022-08-06,253,13
"F3660289      ",100,2022-08-05,1,0
"F3660289      ",14,2022-08-08,783,13
"F3660289      ",15,2022-08-08,261,0
"B5582642      ",3,2022-08-08,1048,52
"F3660289      ",37,2022-08-08,319,10
"B5582642      ",3,2022-08-09,1034,40
"F3660289      ",14,2022-08-09,774,13
"F3660289      ",15,2022-08-09,259,0
"F3660289      ",37,2022-08-09,336,11
"F3660289      ",5,2022-08-09,30,0
"F3660289      ",100,2022-08-08,1,0
"F3660289      ",100,2022-08-09,0,1
"B5582642      ",3,2022-08-10,1022,41
"F3660289      ",14,2022-08-10,774,13
"F3660289      ",15,2022-08-10,258,2
"F3660289      ",37,2022-08-10,311,15
"B5582642      ",3,2022-08-11,1050,49
"F3660289      ",37,2022-08-11,341,16
"F3660289      ",14,2022-08-11,765,8
"F3660289      ",15,2022-08-11,255,0
"B5582642      ",3,2022-08-12,1054,30
"F3660289      ",37,2022-08-12,357,25
"F3660289      ",14,2022-08-12,804,14
"F3660289      ",15,2022-08-12,268,2
"B5582642      ",3,2022-08-13,1044,31
"F3660289      ",37,2022-08-13,347,13
"F3660289      ",14,2022-08-13,795,8
"F3660289      ",15,2022-08-13,265,2
"F3660289      ",100,2022-08-12,1,1
"F3660289      ",100,2022-08-13,1,0
"B5582642      ",3,2022-08-15,1008,22
"F3660289      ",37,2022-08-15,336,14
"F3660289      ",14,2022-08-15,732,6
"F3660289      ",15,2022-08-15,244,1
"F3660289      ",100,2022-08-15,1,0
"F3660289      ",37,2022-08-16,336,30
"F3660289      ",14,2022-08-16,747,10
"F3660289      ",15,2022-08-16,249,0
"B5582642      ",3,2022-08-16,1008,47
"F3660289      ",14,2022-08-17,784,18
"F3660289      ",15,2022-08-17,261,0
"B5582642      ",3,2022-08-17,1026,24
"F3660289      ",37,2022-08-17,353,16
"F3660289      ",100,2022-08-16,1,0
"F3660289      ",100,2022-08-17,1,1
"B5582642      ",3,2022-08-18,1006,37
"F3660289      ",14,2022-08-18,777,24
"F3660289      ",37,2022-08-18,258,20
"F3660289      ",15,2022-08-18,259,1
"B5582642      ",3,2022-08-19,1018,33
"F3660289      ",37,2022-08-19,235,10
"F3660289      ",14,2022-08-19,798,10
"F3660289      ",15,2022-08-19,266,2
"F3660289      ",14,2022-08-22,771,6
"F3660289      ",15,2022-08-22,257,0
"B5582642      ",3,2022-08-22,1052,25
"F3660289      ",37,2022-08-22,224,11
"F3660289      ",100,2022-08-22,1,0
"B5582642      ",3,2022-08-23,1046,178
"F3660289      ",14,2022-08-23,780,5
"F3660289      ",15,2022-08-23,260,0
"F3660289      ",37,2022-08-23,248,13
"F3660289      ",100,2022-08-23,0,1
"B5582642      ",3,2022-08-24,1036,54
"F3660289      ",37,2022-08-24,234,12
"F3660289      ",14,2022-08-24,783,8
"F3660289      ",15,2022-08-24,261,0
"F3660289      ",14,2022-08-25,777,4
"F3660289      ",15,2022-08-25,259,1
"B5582642      ",3,2022-08-25,1066,58
"F3660289      ",100,2022-08-24,0,2
"F3660289      ",37,2022-08-25,233,13
"F3660289      ",14,2022-08-26,768,11
"F3660289      ",15,2022-08-26,256,0
"B5582642      ",3,2022-08-26,1026,21
"F3660289      ",37,2022-08-26,258,22
"F3660289      ",100,2022-08-25,1,0
"F3660289      ",15,2022-08-27,257,1
"B5582642      ",3,2022-08-27,1036,61
"F3660289      ",14,2022-08-27,771,13
"F3660289      ",37,2022-08-27,255,22
"F3660289      ",100,2022-08-26,1,1
"F3660289      ",14,2022-08-29,738,0
"B5582642      ",3,2022-08-29,1004,46
"F3660289      ",15,2022-08-29,246,2
"F3660289      ",37,2022-08-29,285,25
"F3660289      ",100,2022-08-29,1,1
"F3660289      ",100,2022-08-27,0,2
"B5582642      ",3,2022-08-30,1036,40
"F3660289      ",14,2022-08-30,765,2
"F3660289      ",15,2022-08-30,255,0
"F3660289      ",37,2022-08-30,251,15
"B5582642      ",3,2022-08-31,1036,56
"F3660289      ",37,2022-08-31,327,29
"F3660289      ",14,2022-08-31,786,9
"F3660289      ",15,2022-08-31,262,1
"B5582642      ",3,2022-09-01,1026,39
"F3660289      ",37,2022-09-01,298,14
"F3660289      ",14,2022-09-01,796,8
"F3660289      ",15,2022-09-01,265,0
"F3660289      ",100,2022-09-01,1,0
"F3660289      ",37,2022-09-02,238,24
"F3660289      ",14,2022-09-02,738,7
"B5582642      ",3,2022-09-02,1023,110
"F3660289      ",15,2022-09-02,246,0
"B5582642      ",3,2022-09-03,1054,52
"F3660289      ",14,2022-09-03,776,7
"F3660289      ",15,2022-09-03,258,6
"F3660289      ",37,2022-09-03,267,70
"F3660289      ",100,2022-09-03,0,1
"F3660289      ",100,2022-09-02,0,1
"B5582642      ",3,2022-09-05,1016,25
"F3660289      ",37,2022-09-05,219,17
"F3660289      ",14,2022-09-05,753,1
"F3660289      ",15,2022-09-05,251,0
"F3660289      ",37,2022-09-06,229,22
"B5582642      ",3,2022-09-06,1006,70
"F3660289      ",14,2022-09-06,753,6
"F3660289      ",15,2022-09-06,251,0
"F3660289      ",100,2022-09-06,1,0
"B5582642      ",3,2022-09-07,1064,117
"F3660289      ",14,2022-09-07,801,14
"F3660289      ",15,2022-09-07,267,1
"F3660289      ",37,2022-09-07,299,17
"B5582642      ",3,2022-09-08,1014,29
"F3660289      ",14,2022-09-08,750,3
"F3660289      ",15,2022-09-08,250,0
"F3660289      ",37,2022-09-08,245,17
"F3660289      ",37,2022-09-09,247,22
"F3660289      ",14,2022-09-09,783,5
"B5582642      ",3,2022-09-09,1058,92
"F3660289      ",15,2022-09-09,261,2
"F3660289      ",100,2022-09-09,1,1
"F3660289      ",37,2022-09-10,228,13
"B5582642      ",3,2022-09-10,956,30
"F3660289      ",14,2022-09-10,699,2
"F3660289      ",15,2022-09-10,233,0
"F3660289      ",14,2022-09-12,762,7
"F3660289      ",15,2022-09-12,254,0
"B5582642      ",3,2022-09-12,1021,127
"F3660289      ",37,2022-09-12,267,7
"B5582642      ",3,2022-09-13,1058,48
"F3660289      ",37,2022-09-13,275,41
"F3660289      ",14,2022-09-13,774,7
"F3660289      ",15,2022-09-13,258,2
"F3660289      ",100,2022-09-10,0,1
"F3660289      ",37,2022-09-14,259,33
"F3660289      ",14,2022-09-14,750,18
"B5582642      ",3,2022-09-14,1006,105
"F3660289      ",15,2022-09-14,250,3
"F3660289      ",100,2022-09-14,1,1
"B5582642      ",3,2022-09-15,1076,174
"F3660289      ",37,2022-09-15,266,17
"F3660289      ",14,2022-09-15,810,14
"F3660289      ",15,2022-09-15,270,2
"F3660289      ",100,2022-09-15,1,0
"F3660289      ",37,2022-09-16,232,41
"B5582642      ",3,2022-09-16,1146,46
"F3660289      ",14,2022-09-16,843,6
"F3660289      ",15,2022-09-16,281,0
"B5582642      ",3,2022-09-21,1050,108
"F3660289      ",37,2022-09-21,229,20
"F3660289      ",14,2022-09-21,804,9
"F3660289      ",15,2022-09-21,268,0
"F3660289      ",5,2022-09-16,29,0
"B5582642      ",3,2022-09-22,1521,71
"F3660289      ",14,2022-09-22,1137,8
"F3660289      ",15,2022-09-22,379,2
"F3660289      ",37,2022-09-22,358,19
"F3660289      ",100,2022-09-22,0,2
"F3660289      ",14,2022-09-23,1062,16
"F3660289      ",15,2022-09-23,354,3
"B5582642      ",3,2022-09-23,1437,65
"F3660289      ",37,2022-09-23,339,22
"B5582642      ",3,2022-09-24,366,9
"F3660289      ",14,2022-09-24,246,8
"F3660289      ",15,2022-09-24,82,2
"F3660289      ",37,2022-09-24,86,19
"F3660289      ",14,2022-09-25,144,0
"B5582642      ",3,2022-09-25,158,3
"F3660289      ",15,2022-09-25,48,0
"F3660289      ",37,2022-09-25,44,7
"F3660289      ",100,2022-09-24,1,0
"B5582642      ",3,2022-09-26,1440,110
"F3660289      ",14,2022-09-26,1173,22
"F3660289      ",15,2022-09-26,391,9
"F3660289      ",37,2022-09-26,363,36
"F3660289      ",14,2022-09-27,1155,25
"F3660289      ",15,2022-09-27,384,3
"B5582642      ",3,2022-09-27,1537,71
"F3660289      ",37,2022-09-27,376,34
"F3660289      ",100,2022-09-26,2,1
"F3660289      ",37,2022-09-28,391,27
"F3660289      ",14,2022-09-28,1137,19
"B5582642      ",3,2022-09-28,1516,62
"F3660289      ",15,2022-09-28,380,3
"F3660289      ",100,2022-09-27,1,1
"F3660289      ",100,2022-09-28,1,0
"B5582642      ",3,2022-09-29,1590,64
"F3660289      ",37,2022-09-29,319,25
"F3660289      ",14,2022-09-29,1170,26
"F3660289      ",15,2022-09-29,390,2
"F3660289      ",14,2022-09-30,516,5
"F3660289      ",15,2022-09-30,172,1
"B5582642      ",3,2022-09-30,681,35
"F3660289      ",37,2022-09-30,194,26
"F3660289      ",100,2022-09-29,1,0
"F3660289      ",100,2022-09-30,1,1
"B5582642      ",3,2022-10-02,216,10
"F3660289      ",37,2022-10-02,47,15
"F3660289      ",14,2022-10-02,132,1
"F3660289      ",37,2022-10-03,337,34
"B5582642      ",3,2022-10-03,1520,93
"F3660289      ",14,2022-10-03,1107,13
"F3660289      ",15,2022-10-02,44,0
"F3660289      ",15,2022-10-03,369,0
"F3660289      ",100,2022-10-03,1,0
"B5582642      ",3,2022-10-04,1572,127
"F3660289      ",37,2022-10-04,415,35
"F3660289      ",14,2022-10-04,1155,25
"F3660289      ",15,2022-10-04,385,5
"F3660289      ",100,2022-10-04,1,1
"F3660289      ",37,2022-10-05,479,65
"B5582642      ",3,2022-10-05,1558,100
"F3660289      ",14,2022-10-05,1170,21
"F3660289      ",15,2022-10-05,390,4
"B5582642      ",3,2022-10-06,1566,174
"F3660289      ",14,2022-10-06,1149,18
"F3660289      ",15,2022-10-06,382,4
"F3660289      ",37,2022-10-06,406,28
"F3660289      ",100,2022-10-06,2,1
"B5582642      ",3,2022-10-07,1498,123
"F3660289      ",14,2022-10-07,1120,10
"F3660289      ",37,2022-10-07,428,57
"F3660289      ",15,2022-10-07,373,3
"F3660289      ",100,2022-10-07,0,2
"B5582642      ",3,2022-10-08,1397,139
"F3660289      ",14,2022-10-08,1035,12
"F3660289      ",15,2022-10-08,345,8
"F3660289      ",37,2022-10-08,371,39
"B5582642      ",3,2022-10-11,10,0
"F3660289      ",5,2022-10-14,30,0
"B5582642      ",3,2022-10-16,116,17
"F3660289      ",14,2022-10-16,63,0
"F3660289      ",15,2022-10-16,21,0
"F3660289      ",37,2022-10-16,27,2
"B5582642      ",3,2022-10-17,1528,122
"F3660289      ",14,2022-10-17,1116,11
"F3660289      ",15,2022-10-17,372,5
"F3660289      ",37,2022-10-17,437,48
"F3660289      ",100,2022-10-16,0,1
"F3660289      ",37,2022-10-18,426,44
"F3660289      ",14,2022-10-18,1188,9
"B5582642      ",3,2022-10-18,1568,105
"F3660289      ",15,2022-10-18,396,3
"F3660289      ",100,2022-10-18,0,2
"B5582642      ",3,2022-10-19,1568,80
"F3660289      ",14,2022-10-19,1215,17
"F3660289      ",15,2022-10-19,405,0
"F3660289      ",37,2022-10-19,452,37
"F3660289      ",100,2022-10-17,1,0
"F3660289      ",37,2022-10-20,379,39
"B5582642      ",3,2022-10-20,1430,145
"F3660289      ",14,2022-10-20,1035,18
"F3660289      ",15,2022-10-20,344,3
"F3660289      ",100,2022-10-20,0,1
"B5582642      ",3,2022-10-21,1569,187
"F3660289      ",37,2022-10-21,432,46
"F3660289      ",14,2022-10-21,1155,28
"F3660289      ",15,2022-10-21,385,2
"F3660289      ",100,2022-10-21,1,0
"F3660289      ",14,2022-10-22,1059,15
"F3660289      ",15,2022-10-22,352,7
"B5582642      ",3,2022-10-22,1436,74
"F3660289      ",37,2022-10-22,400,97
"F3660289      ",100,2022-10-22,2,0
